2016 Postal Area (POA) Code,Index of Relative Socio-economic Disadvantage,,Index of Relative Socio-economic Advantage and Disadvantage,
,Score,Decile,Score,Decile
800,1066,9,1096,10
810,1037,8,1052,9
812,1013,6,1020,7
815,1075,9,1096,10
820,1073,9,1094,10
822,650,1,754,1
828,970,4,979,5
829,972,4,983,5
830,989,5,997,6
832,1071,9,1075,9
834,1053,8,1052,9
835,1072,9,1070,9
836,1049,8,1055,9
837,1001,6,989,6
838,1044,8,1035,8
839,993,5,965,4
840,871,1,872,1
841,973,4,968,5
845,851,1,875,1
846,833,1,844,1
847,791,1,830,1
850,969,4,975,5
852,628,1,733,1
853,1143,10,1081,9
854,718,1,784,1
860,857,1,891,1
862,742,1,789,1
870,1019,7,1024,8
872,565,1,690,1
873,870,1,913,2
874,1117,10,1110,10
875,972,4,977,5
880,895,1,934,3
885,1092,10,1076,9
886,1024,7,1010,7
2000,977,4,1065,9
2007,945,3,1033,8
2008,1001,6,1085,9
2009,1049,8,1113,10
2010,1047,8,1116,10
2011,1049,8,1104,10
2015,1097,10,1148,10
2016,993,5,1063,9
2017,992,5,1069,9
2018,990,5,1022,7
2019,1047,8,1068,9
2020,1037,8,1073,9
2021,1108,10,1161,10
2022,1075,9,1126,10
2023,1121,10,1171,10
2024,1097,10,1146,10
2025,1112,10,1163,10
2026,1089,10,1140,10
2027,1115,10,1162,10
2028,1108,10,1160,10
2029,1104,10,1147,10
2030,1119,10,1167,10
2031,1090,10,1137,10
2032,981,4,1044,8
2033,1055,9,1106,10
2034,1074,9,1124,10
2035,1039,8,1076,9
2036,1014,6,1035,8
2037,1023,7,1084,9
2038,1096,10,1145,10
2039,1117,10,1171,10
2040,1069,9,1121,10
2041,1099,10,1154,10
2042,1071,9,1123,10
2043,1099,10,1157,10
2044,1038,8,1077,9
2045,1070,9,1103,10
2046,1064,9,1100,10
2047,1096,10,1137,10
2048,1081,10,1128,10
2049,1059,9,1102,10
2050,1078,9,1140,10
2052,1007,6,1081,9
2060,1108,10,1159,10
2061,1091,10,1152,10
2062,1110,10,1159,10
2063,1133,10,1181,10
2064,1071,9,1123,10
2065,1112,10,1163,10
2066,1107,10,1150,10
2067,1047,8,1105,10
2068,1106,10,1154,10
2069,1126,10,1170,10
2070,1117,10,1163,10
2071,1110,10,1156,10
2072,1098,10,1146,10
2073,1128,10,1178,10
2074,1122,10,1164,10
2075,1126,10,1170,10
2076,1111,10,1152,10
2077,1056,9,1080,9
2079,1097,10,1111,10
2080,1089,10,1097,10
2081,1115,10,1123,10
2082,1105,10,1107,10
2083,1052,8,1057,9
2084,1107,10,1129,10
2085,1107,10,1134,10
2086,1114,10,1145,10
2087,1098,10,1130,10
2088,1115,10,1165,10
2089,1107,10,1155,10
2090,1112,10,1160,10
2092,1127,10,1179,10
2093,1105,10,1145,10
2094,1117,10,1160,10
2095,1097,10,1147,10
2096,1111,10,1145,10
2097,1101,10,1120,10
2099,1050,8,1069,9
2100,1084,10,1109,10
2101,1076,9,1093,10
2102,1100,10,1123,10
2103,1090,10,1101,10
2104,1096,10,1119,10
2105,1106,10,1131,10
2106,1098,10,1120,10
2107,1111,10,1136,10
2108,1103,10,1132,10
2109,1022,7,1091,10
2110,1105,10,1151,10
2111,1079,10,1114,10
2112,1059,9,1086,9
2113,1070,9,1099,10
2114,1059,9,1083,9
2115,1007,6,1030,8
2116,1000,6,1022,7
2117,1016,7,1041,8
2118,1059,9,1086,9
2119,1127,10,1164,10
2120,1105,10,1131,10
2121,1084,10,1120,10
2122,1040,8,1077,9
2125,1125,10,1159,10
2126,1113,10,1145,10
2127,1094,10,1129,10
2128,1001,6,1023,8
2130,1062,9,1095,10
2131,1005,6,1038,8
2132,1030,7,1065,9
2133,1025,7,1043,8
2134,972,4,1034,8
2135,1032,7,1078,9
2136,1031,7,1056,9
2137,1073,9,1102,10
2138,1062,9,1112,10
2140,1013,6,1047,8
2141,949,3,989,6
2142,909,2,941,3
2143,927,2,958,4
2144,859,1,909,2
2145,1016,7,1027,8
2146,1026,7,1026,8
2147,1004,6,1004,7
2148,975,4,973,5
2150,1001,6,1034,8
2151,1039,8,1061,9
2152,1048,8,1061,9
2153,1096,10,1115,10
2154,1097,10,1127,10
2155,1112,10,1144,10
2156,1118,10,1135,10
2157,1078,9,1080,9
2158,1093,10,1115,10
2159,1095,10,1106,10
2160,908,1,937,3
2161,872,1,907,2
2162,882,1,913,2
2163,764,1,817,1
2164,901,1,922,2
2165,816,1,866,1
2166,788,1,846,1
2167,1014,6,1017,7
2168,857,1,885,1
2170,931,2,953,4
2171,1031,7,1050,8
2172,1124,10,1146,10
2173,1083,10,1082,9
2174,1070,9,1103,10
2175,1011,6,1012,7
2176,941,3,964,4
2177,876,1,913,2
2178,1020,7,1021,7
2179,990,5,999,6
2190,911,2,939,3
2191,989,5,1011,7
2192,915,2,940,3
2193,1021,7,1045,8
2194,917,2,952,4
2195,860,1,890,1
2196,913,2,939,3
2197,912,2,936,3
2198,1001,6,1006,7
2199,902,1,928,3
2200,892,1,926,2
2203,1040,8,1072,9
2204,1007,6,1050,8
2205,1002,6,1042,8
2206,1025,7,1047,8
2207,1004,6,1023,7
2208,1004,6,1025,8
2209,979,4,1004,7
2210,978,4,1001,6
2211,1007,6,1018,7
2212,990,5,1006,7
2213,1029,7,1037,8
2214,1061,9,1047,8
2216,991,5,1012,7
2217,1018,7,1036,8
2218,996,5,1015,7
2219,1030,7,1041,8
2220,979,4,1018,7
2221,1057,9,1082,9
2222,1015,6,1029,8
2223,1069,9,1082,9
2224,1065,9,1075,9
2225,1118,10,1141,10
2226,1083,10,1102,10
2227,1086,10,1096,10
2228,1046,8,1051,9
2229,1076,9,1088,9
2230,1083,10,1096,10
2231,1044,8,1034,8
2232,1072,9,1076,9
2233,1089,10,1082,9
2234,1099,10,1108,10
2250,1007,6,998,6
2251,1037,8,1028,8
2256,957,3,950,4
2257,980,4,966,5
2258,1043,8,1031,8
2259,975,4,957,4
2260,1075,9,1077,9
2261,979,4,959,4
2262,931,2,906,2
2263,909,2,893,1
2264,977,4,960,4
2265,1006,6,1001,6
2267,996,5,982,5
2278,1000,6,954,4
2280,1008,6,992,6
2281,983,5,963,4
2282,1050,8,1038,8
2283,974,4,958,4
2284,951,3,934,3
2285,1006,6,983,5
2286,972,4,934,3
2287,991,5,980,5
2289,1052,8,1041,8
2290,1013,6,998,6
2291,1076,9,1089,9
2292,983,5,980,5
2293,1032,7,1037,8
2294,995,5,995,6
2295,976,4,969,5
2296,988,5,995,6
2297,980,4,986,6
2298,966,4,964,4
2299,943,3,954,4
2300,1046,8,1069,9
2302,990,5,1010,7
2303,981,4,1000,6
2304,955,3,952,4
2305,1042,8,1042,8
2306,660,1,698,1
2307,938,2,921,2
2311,955,3,946,3
2312,939,2,909,2
2315,998,6,980,5
2316,997,5,971,5
2317,993,5,965,4
2318,1033,7,1010,7
2319,942,3,914,2
2320,987,5,971,5
2321,1017,7,995,6
2322,965,4,941,3
2323,975,4,961,4
2324,933,2,915,2
2325,910,2,894,1
2326,893,1,872,1
2327,893,1,866,1
2328,958,3,936,3
2329,930,2,917,2
2330,986,5,965,4
2331,1058,9,1033,8
2333,924,2,912,2
2334,955,3,922,2
2335,1017,7,994,6
2336,975,4,943,3
2337,997,5,980,5
2338,930,2,921,2
2339,972,4,962,4
2340,965,4,951,4
2341,821,1,813,1
2342,1000,6,990,6
2343,930,2,923,2
2344,1041,8,1013,7
2345,986,5,962,4
2346,893,1,886,1
2347,902,1,899,1
2350,993,5,990,6
2352,981,5,948,4
2353,975,4,942,3
2354,983,5,973,5
2355,936,2,927,3
2356,795,1,829,1
2357,916,2,910,2
2358,966,4,947,4
2359,891,1,894,1
2360,919,2,905,2
2361,859,1,869,1
2365,960,3,946,3
2369,829,1,833,1
2370,917,2,910,2
2371,895,1,894,1
2372,925,2,910,2
2379,1008,6,1017,7
2380,958,3,943,3
2381,934,2,929,3
2382,920,2,909,2
2386,995,5,992,6
2387,979,4,993,6
2388,927,2,920,2
2390,970,4,950,4
2395,838,1,854,1
2396,860,1,873,1
2397,983,5,982,5
2398,1010,6,1002,6
2399,979,4,959,4
2400,929,2,925,2
2401,999,6,997,6
2402,916,2,908,2
2403,924,2,922,2
2404,914,2,910,2
2405,1008,6,1007,7
2406,932,2,938,3
2408,1029,7,1022,7
2409,700,1,767,1
2410,934,2,937,3
2411,1035,8,1027,8
2415,969,4,963,4
2420,957,3,942,3
2421,1050,8,1036,8
2422,936,2,923,2
2423,915,2,897,1
2424,856,1,866,1
2425,963,3,945,3
2426,908,1,888,1
2427,930,2,911,2
2428,928,2,908,2
2429,923,2,906,2
2430,920,2,906,2
2431,943,3,918,2
2439,985,5,953,4
2440,873,1,865,1
2441,941,3,928,3
2443,919,2,899,1
2444,983,5,969,5
2445,1017,7,992,6
2446,961,3,938,3
2447,939,2,919,2
2448,893,1,888,1
2449,862,1,858,1
2450,974,4,961,4
2452,943,3,925,2
2453,944,3,932,3
2454,981,4,973,5
2455,935,2,919,2
2456,970,4,957,4
2460,913,2,897,1
2462,911,2,891,1
2463,954,3,927,3
2464,971,4,951,4
2465,940,3,920,2
2466,882,1,863,1
2469,885,1,883,1
2470,893,1,876,1
2471,922,2,905,2
2472,933,2,907,2
2473,930,2,916,2
2474,913,2,905,2
2475,836,1,848,1
2476,907,1,905,2
2477,1008,6,989,6
2478,998,6,984,6
2479,1051,8,1053,9
