




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
1,11-May-2021,14-May-2021,Concrete polishing,3186,"11,327.27",No,S18,N/A,s.18(1)(b),Yes,Trade subcontractor,Partnership,None,Head contractor,Pty Ltd Company,None,Determined,28-May-2021,N/A,N/A,N/A,No,Yes,28-May-2021,"11,327.27",,Fixed,990.00,0.0000%,100.0000%,,990.00,N/A,N/A,0.00,Yes,100.00,20-Dec-2021,N/A,N/A,Yes,33.0000%,330.00,660.00
2,21-May-2021,26-May-2021,Design and construction works,3039,"202,230.09",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,17-Jun-2021,N/A,No,N/A,Yes,Yes,05-Jul-2021,"21,274.43",No,Hourly,"35,420.00",50.0000%,50.0000%,"17,710.00","17,710.00",N/A,N/A,0.00,Yes,0.00,31-Aug-2021,N/A,N/A,Yes,15.0000%,"5,313.00","30,107.00"
3,10-Jun-2021,16-Jun-2021,Supply and installation of joinery,3186,"19,456.93",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,30-Jun-2021,No jurisdiction,N/A,N/A,No,Yes,02-Jul-2021,0.00,No,Hourly,"2,331.82",100.0000%,0.0000%,"2,331.82",0.00,N/A,N/A,,,N/A,N/A,N/A,N/A,No,33.0000%,777.27,"1,554.55"
4,21-Jun-2021,24-Jun-2021,Shop fit-out,3141,"73,212.33",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,02-Jul-2021,N/A,N/A,N/A,N/A,Yes,05-Jul-2021,"73,212.33",N/A,Hourly,"5,727.27",0.0000%,100.0000%,0.00,"5,727.27",N/A,N/A,0.00,Yes,500.00,16-Jul-2021,N/A,N/A,Yes,33.3333%,"1,909.09","3,818.18"
5,24-Jun-2021,29-Jun-2021,Installation of new roof and gutters ,3201,"2,266.12",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
6,27-Jun-2021,30-Jun-2021,Brickwork,3186,"3,696.00",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Not known,Head contractor,Pty Ltd Company,None,Determined,14-Jul-2021,N/A,No,N/A,N/A,Yes,26-Jul-2021,0.00,N/A,Hourly,777.27,100.0000%,0.0000%,777.27,0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,259.09,518.18
7,30-Jun-2021,01-Jul-2021,Design and construction works,3128,"910,630.08",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,22-Jul-2021,N/A,Yes,Yes,Yes,Yes,22-Jul-2021,"804,596.95",No,Hourly,"24,200.00",50.0000%,50.0000%,"12,100.00","12,100.00",N/A,N/A,0.00,Yes,0.00,03-Aug-2021,N/A,N/A,N/A,15.0000%,"3,630.00","20,570.00"
8,01-Jul-2021,06-Jul-2021,Civil works,3658,"37,187.61",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,No jurisdiction,No,N/A,No,Yes,N/A,0.00,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
9,01-Jul-2021,06-Jul-2021,Supply and install concrete structural works,3134,"214,920.83",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,20-Jul-2021,N/A,No,N/A,No,Yes,22-Jul-2021,"161,942.57",No,Hourly,"9,818.18",0.0000%,100.0000%,0.00,"9,818.18",N/A,N/A,0.00,Yes,500.00,20-Aug-2021,Merchant Fee,3.70,Yes,33.3333%,"3,272.73","6,545.45"
10,02-Jul-2021,07-Jul-2021,Remediation of contaminated land,3962,"2,245,036.36",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,22-Jul-2021,N/A,Yes,Yes,Yes,Yes,23-Jul-2021,0.00,No,Hourly,"22,090.91",100.0000%,0.0000%,"22,090.91",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"7,363.64","14,727.27"
