determination_status,app_date_day_of_week,acceptance_date_isNA,acc_date_day_of_week,time_to_acceptance,payment_sched_provided,business_type_claimant_Consultant,business_type_claimant_Developer,business_type_claimant_Head contractor,business_type_claimant_Major subcontractor,business_type_claimant_Manufacturer of building materials or components,business_type_claimant_Other,business_type_claimant_Project manager,business_type_claimant_Supplier,business_type_claimant_Trade Contractor,business_type_claimant_Trade subcontractor,business_structure_claimant_Ltd Company,business_structure_claimant_Other,business_structure_claimant_Partnership,business_structure_claimant_Pty Ltd Company,business_structure_claimant_Sole Trader,business_structure_claimant_Sole trader,business_structure_claimant_Trust,claimant_advisers_Claim preparer,claimant_advisers_Consultant,claimant_advisers_None,claimant_advisers_Not known,claimant_advisers_Solicitors,business_type_respondent_Developer,business_type_respondent_Head contractor,business_type_respondent_Major Subcontractor,business_type_respondent_Major subcontractor,business_type_respondent_Manufacturer of building materials or components,business_type_respondent_Other,business_type_respondent_Project manager,business_structure_respondent_Other,business_structure_respondent_Partnership,business_structure_respondent_Pty Ltd Company,business_structure_respondent_Sole Trader,business_structure_respondent_Trust,respondent_advisers_Consultant,respondent_advisers_None,respondent_advisers_Not determined,respondent_advisers_Not known,respondent_advisers_Response preparer,respondent_advisers_Solicitors,notice_sent_to_claimant_No,notice_sent_to_claimant_Not yet determined,notice_sent_to_claimant_Yes,extension_of_time_sought_No,extension_of_time_sought_No ,extension_of_time_sought_Not yet determined,extension_of_time_sought_Yes,claimed_amount,claim_region_inf,claim_region_1,claim_region_2,claim_region_3,irsad_score,decile_score,category_Construction,category_Design,category_Other,category_Supply
1,0.14285714285714285,0,0.5714285714285714,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.715225880639889,0,1,0,0,2.209578063426053,1.0,0,0,1,0
1,0.5714285714285714,0,0.2857142857142857,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9384763783408128,0,1,0,0,1.3784987125956354,0.9,1,0,0,0
1,0.42857142857142855,0,0.2857142857142857,0.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.40482448461750503,0,1,0,0,2.209578063426053,1.0,0,0,0,1
1,0.0,0,0.42857142857142855,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.35550661538627415,0,1,0,0,1.680709385624878,1.0,0,0,1,0
0,0.42857142857142855,0,0.14285714285714285,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.638496810665827,0,1,0,0,-0.752086532260526,0.4,0,0,1,0
1,0.8571428571428571,0,0.2857142857142857,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.3578211469390575,0,1,0,0,2.209578063426053,1.0,0,0,1,0
1,0.2857142857142857,0,0.42857142857142855,0.05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.8018385669198493,0,1,0,0,0.7287457655827634,0.8,1,0,0,0
0,0.42857142857142855,0,0.14285714285714285,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0331552139361818,0,0,0,1,-0.7823075995634503,0.3,0,0,1,0
1,0.42857142857142855,0,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9733978093425393,0,1,0,0,0.804298433840074,0.8,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2.3195700602437306,0,0,0,1,-1.2205130754558522,0.2,0,0,1,0
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.30590436697061646,0,0,0,1,-0.35921265732251045,0.5,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.24828409431740917,0,0,0,1,-0.35921265732251045,0.5,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.1635908799775625,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
0,0.5714285714285714,1,0.28251599147121537,0.20335820895522388,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7612989295746513,0,1,0,0,0.789187900188612,0.8,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.6286503578245367,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.248353589727977,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.5956944733419696,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.6589081303112767,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.35749645740625885,0,0,0,1,-1.3867289456219358,0.2,1,0,0,0
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.062152846907477,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.2352772375298067,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.06525271527483,0,0,0,1,-1.3867289456219358,0.2,0,0,0,1
